Entity,Code,Year,Hydro
Belgium,BEL,2009,0.12078858
Belgium,BEL,2010,0.10672942
Belgium,BEL,2011,0.0715124
Belgium,BEL,2012,0.13500169
Belgium,BEL,2013,0.13923691
Belgium,BEL,2014,0.11484327
Belgium,BEL,2015,0.1232076
Belgium,BEL,2016,0.13182093
Belgium,BEL,2017,0.094870485
Belgium,BEL,2018,0.102336414
Belgium,BEL,2019,0.101931155
Belgium,BEL,2020,0.100011796
Belgium,BEL,2021,0.14053242
Belgium,BEL,2022,0.09664336
Belgium,BEL,2023,0.15380566
Belgium,BEL,2024,0.20185165
Brazil,BRA,1965,26.31852
Brazil,BRA,1966,26.386042
Brazil,BRA,1967,26.64073
Brazil,BRA,1968,24.384598
Brazil,BRA,1969,23.900604
Brazil,BRA,1970,24.089436
Brazil,BRA,1971,24.086266
Brazil,BRA,1972,24.547424
Brazil,BRA,1973,23.738495
Brazil,BRA,1974,24.308788
Brazil,BRA,1975,25.43226
Brazil,BRA,1976,26.688282
Brazil,BRA,1977,28.119967
Brazil,BRA,1978,28.017157
Brazil,BRA,1979,29.421734
Brazil,BRA,1980,31.553629
Brazil,BRA,1981,33.104614
Brazil,BRA,1982,33.93896
Brazil,BRA,1983,36.05323
Brazil,BRA,1984,37.118618
Brazil,BRA,1985,37.078163
Brazil,BRA,1986,35.946785
Brazil,BRA,1987,35.60575
Brazil,BRA,1988,36.64535
Brazil,BRA,1989,36.813053
Brazil,BRA,1990,37.638523
Brazil,BRA,1991,38.175438
Brazil,BRA,1992,38.494736
Brazil,BRA,1993,38.687683
Brazil,BRA,1994,38.239613
Brazil,BRA,1995,37.77672
Brazil,BRA,1996,37.235245
Brazil,BRA,1997,36.92709
Brazil,BRA,1998,37.028934
Brazil,BRA,1999,36.716885
Brazil,BRA,2000,36.623344
Brazil,BRA,2001,32.80594
Brazil,BRA,2002,34.09747
Brazil,BRA,2003,35.722164
Brazil,BRA,2004,35.53049
Brazil,BRA,2005,36.164074
Brazil,BRA,2006,36.14994
Brazil,BRA,2007,36.228302
Brazil,BRA,2008,33.96769
Brazil,BRA,2009,35.914837
Brazil,BRA,2010,33.702114
Brazil,BRA,2011,34.24023
Brazil,BRA,2012,32.089718
Brazil,BRA,2013,29.1491
Brazil,BRA,2014,27.086216
Brazil,BRA,2015,26.247826
Brazil,BRA,2016,28.324358
Brazil,BRA,2017,27.221018
Brazil,BRA,2018,28.356907
Brazil,BRA,2019,28.231672
Brazil,BRA,2020,29.260765
Brazil,BRA,2021,25.479364
Brazil,BRA,2022,28.779074
Brazil,BRA,2023,27.64604
Brazil,BRA,2024,26.342302
Bulgaria,BGR,1965,4.6463866
Bulgaria,BGR,1966,4.354997
Bulgaria,BGR,1967,3.770125
Bulgaria,BGR,1968,2.1745162
Bulgaria,BGR,1969,2.7502878
Bulgaria,BGR,1970,2.8605528
Bulgaria,BGR,1971,2.7700152
Bulgaria,BGR,1972,2.5986295
Bulgaria,BGR,1973,3.0689979
Bulgaria,BGR,1974,2.4114025
Bulgaria,BGR,1975,2.5739927
Bulgaria,BGR,1976,2.9287097
Bulgaria,BGR,1977,3.3213696
Bulgaria,BGR,1978,2.6428828
Bulgaria,BGR,1979,2.898669
Bulgaria,BGR,1980,3.0791564
Bulgaria,BGR,1981,3.0469205
Bulgaria,BGR,1982,2.5070398
Bulgaria,BGR,1983,2.7386467
Bulgaria,BGR,1984,2.6783361
Bulgaria,BGR,1985,1.851061
Bulgaria,BGR,1986,1.8864747
Bulgaria,BGR,1987,2.042098
Bulgaria,BGR,1988,2.0431218
Bulgaria,BGR,1989,2.136107
Bulgaria,BGR,1990,1.4007479
Bulgaria,BGR,1991,2.4100642
Bulgaria,BGR,1992,2.1483028
Bulgaria,BGR,1993,1.891392
Bulgaria,BGR,1994,1.4263549
Bulgaria,BGR,1995,2.2264106
Bulgaria,BGR,1996,2.967801
Bulgaria,BGR,1997,2.9603994
Bulgaria,BGR,1998,3.4685338
Bulgaria,BGR,1999,3.5162685
Bulgaria,BGR,2000,3.386313
Bulgaria,BGR,2001,2.0436325
Bulgaria,BGR,2002,2.6811574
Bulgaria,BGR,2003,3.6460853
Bulgaria,BGR,2004,3.9299328
Bulgaria,BGR,2005,4.9321923
Bulgaria,BGR,2006,4.7157936
Bulgaria,BGR,2007,3.252902
Bulgaria,BGR,2008,3.2204366
Bulgaria,BGR,2009,4.489042
Bulgaria,BGR,2010,6.2516704
Bulgaria,BGR,2011,3.33547
Bulgaria,BGR,2012,3.8681815
Bulgaria,BGR,2013,5.262861
Bulgaria,BGR,2014,5.5895624
Bulgaria,BGR,2015,6.4342732
Bulgaria,BGR,2016,4.6177835
Bulgaria,BGR,2017,3.2674122
Bulgaria,BGR,2018,5.9093537
Bulgaria,BGR,2019,3.4592104
Bulgaria,BGR,2020,3.598847
Bulgaria,BGR,2021,5.402016
Bulgaria,BGR,2022,4.109503
Bulgaria,BGR,2023,3.8558109
Bulgaria,BGR,2024,3.7028973
CIS (EI),,1965,3.2773104
CIS (EI),,1966,3.4751563
CIS (EI),,1967,3.1889977
CIS (EI),,1968,3.6118703
CIS (EI),,1969,3.8223417
CIS (EI),,1970,3.9316866
CIS (EI),,1971,3.7993116
CIS (EI),,1972,3.5231247
CIS (EI),,1973,3.3360085
CIS (EI),,1974,3.4117298
CIS (EI),,1975,3.1019454
CIS (EI),,1976,3.2168972
CIS (EI),,1977,3.3350234
CIS (EI),,1978,3.690722
CIS (EI),,1979,3.6414955
CIS (EI),,1980,3.8089268
CIS (EI),,1981,3.78649
CIS (EI),,1982,3.4552104
CIS (EI),,1983,3.4942167
CIS (EI),,1984,3.790494
CIS (EI),,1985,4.5142736
CIS (EI),,1986,4.439309
CIS (EI),,1987,4.349288
CIS (EI),,1988,4.4332685
CIS (EI),,1989,4.302323
CIS (EI),,1990,4.6166453
CIS (EI),,1991,4.7102103
CIS (EI),,1992,5.040585
CIS (EI),,1993,5.614861
CIS (EI),,1994,6.2597094
CIS (EI),,1995,6.4767213
CIS (EI),,1996,6.038422
CIS (EI),,1997,6.3681026
CIS (EI),,1998,6.4042735
CIS (EI),,1999,6.4899817
CIS (EI),,2000,6.569711
CIS (EI),,2001,6.6846013
CIS (EI),,2002,6.3406663
CIS (EI),,2003,6.128043
CIS (EI),,2004,6.5656743
CIS (EI),,2005,6.4366717
CIS (EI),,2006,6.124553
CIS (EI),,2007,6.1681495
CIS (EI),,2008,5.5763955
CIS (EI),,2009,6.098415
CIS (EI),,2010,5.7764144
CIS (EI),,2011,5.4058776
CIS (EI),,2012,5.3006105
CIS (EI),,2013,5.765384
CIS (EI),,2014,5.4686704
CIS (EI),,2015,5.437851
CIS (EI),,2016,5.771739
CIS (EI),,2017,5.7922196
CIS (EI),,2018,5.629579
CIS (EI),,2019,5.7296805
CIS (EI),,2020,6.212882
CIS (EI),,2021,6.0029993
CIS (EI),,2022,5.4401336
CIS (EI),,2023,5.446649
CIS (EI),,2024,5.619458
Canada,CAN,1965,23.980585
Canada,CAN,1966,25.004318
Canada,CAN,1967,24.43773
Canada,CAN,1968,23.337675
Canada,CAN,1969,24.351625
Canada,CAN,1970,23.871243
Canada,CAN,1971,23.779446
Canada,CAN,1972,24.717358
Canada,CAN,1973,24.391838
Canada,CAN,1974,25.612501
Canada,CAN,1975,24.975187
Canada,CAN,1976,25.057535
Canada,CAN,1977,24.515259
Canada,CAN,1978,25.726513
Canada,CAN,1979,25.939054
Canada,CAN,1980,26.184237
Canada,CAN,1981,27.930798
Canada,CAN,1982,27.907204
Canada,CAN,1983,28.975355
Canada,CAN,1984,29.310484
Canada,CAN,1985,30.132872
Canada,CAN,1986,30.545633
